n,model,command,mean,stddev,median,user,system,min,max
output/raw_time_025,output/raw_time_guards_in_return_expression,conjureoxide_expand_simple,11.428849688840002,0.08788926107555534,11.428849688840002,9.90190778,1.48606026,11.366702596340001,11.490996781340002
output/raw_time_025,output/raw_time_guards_in_return_expression,conjureoxide_expand_ac,0.16454627034000002,0.0018399809401018138,0.16454627034000002,0.12774128,0.03151576,0.16324520734000003,0.16584733334
output/raw_time_025,output/raw_time_static_guards_only,conjureoxide_expand_simple,0.12222079056000001,0.006698752757046988,0.12222079056000001,0.08796624,0.02799488,0.11748405706000001,0.12695752406000002
output/raw_time_025,output/raw_time_static_guards_only,conjureoxide_expand_ac,0.13700489606,0.0028682273370320504,0.13700489606,0.10478624,0.02627788,0.13497675306,0.13903303906
output/raw_time_050,output/raw_time_guards_in_return_expression,conjureoxide_expand_simple,87.14742041081999,0.20613934469049564,87.14742041081999,75.87963964,11.03040872,87.00165788231999,87.29318293931999
output/raw_time_050,output/raw_time_guards_in_return_expression,conjureoxide_expand_ac,0.19203259082000002,0.000593850195150669,0.19203259082000002,0.14557063999999997,0.02969622,0.19161267532000004,0.19245250632000002
output/raw_time_050,output/raw_time_static_guards_only,conjureoxide_expand_simple,0.12832274374,0.00014126932827935996,0.12832274374,0.08938262,0.0330739,0.12822285124,0.12842263624
output/raw_time_050,output/raw_time_static_guards_only,conjureoxide_expand_ac,0.14614678424,0.002263038684645057,0.14614678424,0.11275512,0.0272119,0.14454657424,0.14774699424
output/raw_time_075,output/raw_time_guards_in_return_expression,conjureoxide_expand_simple,286.34476959788003,0.7040393936890483,286.34476959788003,247.29831798,38.15793486,285.84693856838004,286.84260062738
output/raw_time_075,output/raw_time_guards_in_return_expression,conjureoxide_expand_ac,0.19825369638,0.00011300839155565628,0.19825369638,0.16177748,0.03368886,0.19817378738000002,0.19833360538
output/raw_time_075,output/raw_time_static_guards_only,conjureoxide_expand_simple,0.1370729596,0.0002729545312465182,0.1370729596,0.10085878,0.030614219999999998,0.1368799516,0.1372659676
output/raw_time_075,output/raw_time_static_guards_only,conjureoxide_expand_ac,0.1690602396,0.004303952501902406,0.1690602396,0.13635877999999996,0.02342172,0.1660168856,0.1721035936
