model,times_slower
dynamic_guards,NA
dynamic_guards,1.961038961038961
dynamic_guards,2.16953642384106
dynamic_guards,2.114774114774115
dynamic_guards,1.8620092378752886
dynamic_guards,1.7204651162790698
dynamic_guards,1.5870956114265118
dynamic_guards,1.4084147172382466
if,NA
if,2.5944700460829493
if,2.558614564831261
if,2.1947240541478656
if,1.9402182508303019
if,1.7243234431040104
if,1.5975229271059848
if,1.4554950582943718
static_guards,NA
static_guards,1.4460227272727273
static_guards,1.5717092337917486
static_guards,1.7575
static_guards,1.7140825035561877
static_guards,1.59253112033195
static_guards,1.528400208441897
static_guards,1.472383225366519
